City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
302,luganville,-15.5333,167.1667,22.89,93,100,1.38,VU,1699938085
303,kachug,53.9606,105.8817,-2.19,70,100,0.45,RU,1699938228
304,labytnangi,66.6572,66.4183,-16.96,99,100,1.2,RU,1699938228
305,ashburton,-37.8626,145.0794,17.69,62,100,0.89,AU,1699938228
306,saint-pierre,-21.3393,55.4781,26.82,57,52,2.57,RE,1699938229
307,portoferraio,42.8115,10.3146,17.76,84,100,6.07,IT,1699938229
308,puerto real,36.5282,-6.1901,15.09,88,0,4.12,ES,1699938229
309,la sarre,48.8002,-79.1996,-0.06,96,100,4.88,CA,1699937966
310,amasra,41.7463,32.3863,13.71,68,65,3.69,TR,1699938230
311,evergreen,39.6333,-105.3172,8.07,39,14,0.89,US,1699938230
312,akureyri,65.6835,-18.0878,2.96,75,100,1.03,IS,1699938230
313,pariaman,-0.619,100.12,29.03,82,64,2.54,ID,1699938230
314,belorechensk,44.76,39.87,8.83,95,100,8.51,RU,1699938230
315,mhangura,-16.8939,30.1683,21.88,48,14,3.97,ZW,1699938231
316,lorengau,-2.0226,147.2712,29.05,71,81,3.14,PG,1699938231
317,itaituba,-4.2761,-55.9836,27.26,56,45,1.03,BR,1699938231
318,gillette,44.2911,-105.5022,13.35,20,100,5.81,US,1699938018
319,san patricio,28.017,-97.5169,17.13,89,100,4.81,US,1699938231
320,aykhal,66.0,111.5,-8.53,94,100,3.69,RU,1699938231
321,tarauaca,-8.1614,-70.7656,23.62,96,58,0.67,BR,1699938232
322,kerikeri,-35.2268,173.9474,13.85,93,100,3.52,NZ,1699938232
323,udangudi,8.4333,78.0167,28.1,70,99,7.62,IN,1699938232
324,fisterra,42.9049,-9.2629,18.75,93,100,12.38,ES,1699938232
325,port augusta,-32.5,137.7667,28.16,32,40,7.66,AU,1699938232
326,shalqar,47.8333,59.6,5.3,74,93,6.41,KZ,1699938233
327,kyzyl-mazhalyk,51.1333,90.6,-6.16,83,79,0.45,RU,1699938233
328,mossel bay,-34.1831,22.146,15.96,77,16,5.91,ZA,1699938233
329,puerto aysen,-45.4,-72.7,2.2,99,100,2.34,CL,1699938233
330,laguna,38.421,-121.4238,14.06,77,0,2.06,US,1699938233
331,mchinji,-13.7984,32.8802,21.25,71,20,3.48,MW,1699938234
332,shimoda,34.6667,138.95,17.2,68,76,1.8,JP,1699938234
333,manosque,43.8288,5.7869,11.42,80,94,1.92,FR,1699938234
334,newman,37.3138,-121.0208,12.94,73,30,2.44,US,1699938234
335,yuzhno-kurilsk,44.0306,145.8556,2.43,80,44,8.83,RU,1699938235
336,altai,46.3722,96.2583,-7.91,84,100,4.34,MN,1699938235
337,sandnessjoen,66.0217,12.6316,-2.94,59,0,1.54,NO,1699938235
338,howrah,22.5892,88.3103,27.0,69,20,3.09,IN,1699938069
339,bojnurd,37.4747,57.329,6.97,87,0,0.0,IR,1699938235
340,remire-montjoly,4.9167,-52.2667,25.02,94,0,0.0,GF,1699938236
341,kristiansund,63.1115,7.732,0.36,69,75,1.03,NO,1699938236
342,monte cristo,-31.3431,-63.9444,14.86,69,0,2.02,AR,1699938236
343,collie,-33.3667,116.15,23.28,53,84,4.61,AU,1699938236
344,wheeling,42.1392,-87.929,8.87,53,0,2.06,US,1699938236
345,saudarkrokur,65.7461,-19.6394,-1.59,82,11,4.33,IS,1699938108
